asset_kind,value,notes
character,Aria,"A charismatic human spellcaster, leader of Aria's Guild"
character,Caelum,"A celestial archer seeking to understand his lineage and serve Lunaria"
character,Dr. Christina Hayes,"A scientist from the year 2336 who pioneered a consciousness transfer experiment; inadvertently responsible for uploading minds into Evergreen (she later becomes the player character Raeve in the game world)"
character,Raeve,"The in-game persona of Dr. Christina Hayes – an archer and shapeshifter. Raeve carries the burden of knowing she triggered the mass upload, and volunteers to join Athena's mission to investigate the hellgates"
character,Mike,"The real-life player behind the character Tank. He attempts to log out when the crisis starts, only to discover he is trapped in Evergreen"
character,Tank,"A human warrior armed with a spear and shield; Mike’s avatar in Evergreen"
character,Eidolon,"An elven rogue with no memory of logging into the game, leading him to question his own reality"
character,Elara,"A priestess of light and leader of the Shield Bearers guild, known for her healing powers and compassionate leadership"
character,Gavriel,"A mysterious wizard and member of the Shield Bearers, possessing intense magical power"
character,Lyra,"An agile warrior in the Shield Bearers (wields twin swords). She fought in the battle against the Dark Paladin"
character,Lysandra,"A cunning strategist who serves as the second member of the Council of Three leading the Crimson Vanguard guild"
character,Kael,"A stalwart warrior of the Shield Bearers, known for his strength and loyalty. He fell in battle against the Dark Paladin"
character,Reyna,"A Wood Elf ranger, expert with the longbow, and member of the Elementalists guild"
character,Pax,"A Halfling cleric devoted to a nature deity. His healing magic saved his companions often (initially a Shield Bearer, later a member of the Azure Lily)"
character,Thane,"A seasoned human warrior, leader of the Crimson Vanguard’s Council of Three. He mentors Tank and spearheads many tough missions"
character,Selena,"An elegant human Blade Dancer (duelist) who fights in Thane’s party, demonstrating great agility with twin blades"
character,Ivar,"A Half-Orc bearkin Barbarian in Thane’s group, renowned for ferocity. He fights with raw strength and disdain for finesse"
character,Vaelor,"A Dragonborn Paladin, one of the Crimson Vanguard’s Council of Three. He survived the first floor battle and later became possessed as the second floor boss"
character,Lirael,"An Elven ranger allied with Aria’s Guild"
character,Gorrim,"A Dwarf berserker allied with Aria’s Guild"
character,Sylas,"A Human rogue allied with Aria’s Guild"
character,Mira,"A Gnome artificer allied with Aria’s Guild"
character,Kaelen,"A Half-Elf warlock from Aria’s Guild who perished in the battle against the Dark Paladin"
character,Tharivol,"A Tiefling sorcerer and member of Aria’s Guild"
character,Eryndor,"A Human cleric allied with Aria’s Guild who fell during the Dark Paladin fight"
character,Briar,"A Halfling monk from Aria’s Guild who fell during the Dark Paladin battle"
character,Ulraker,"A bearkin (bear-like humanoid) warrior, second son of a tribe chief. Often seen with wolves, which unnerves other bearkin"
character,Lysara,"A young elemental mage (specializing in fire and ice) chosen by Caelum to investigate a strange magical anomaly in the mountains"
character,Elarion,"A young energy mage chosen alongside Lysara by Caelum to investigate an abnormal magical signature in the mountains"
character,Archmage Caelum Starweaver,"The older incarnation of Caelum (from Ezekiel’s Arc): an ageless yet aged master of lunar and time magic, and a High Priest of Lunaria"
character,Tharok,"A human warrior affiliated with a mercenary guild"
character,Seraphina,"A human warrior affiliated with a mercenary guild"
character,Automaton Guardian No. 7519,"A defensive robot guardian allied with Lunara the Swift’s party"
character,Drogan Flamebeard,"A dwarf mage allied with Lunara. He specializes in flame magic for offense, enchantments, and even cooking; also skilled at counterspells"
character,Eorhelm,"A human warrior allied with Lunara. He is of unremarkable ability but notably handsome"
character,Lunara the Swift,"A talented elven archer from a humble background. She has rallied a band of adventurers out of necessity, emerging as their leader in her story arc"
character,Jacob the Merchant,"A traveling merchant saved by the Elementalists from bandits. Grateful, he rewarded them with a magical teapot and discounts at his shop"
character,Johan,"A fire mage and member of the Elementalists whose death (at the hands of robbers) prompts the quest for a resurrection ritual"
character,The Whisperer,"An enigmatic figure knowledgeable in necromancy. Eidolon’s group seeks out this individual for guidance on resurrecting Johan"
character,Elric,"A wizened mage of Aria’s Guild and one of Aria’s advisors. He can commune with nature and is sent to the elven lands to gather arcane knowledge to help the guild"
character,Lina,"A serene priestess and advisor in Aria’s Guild. Aria dispatches her to find the Oracles in hopes of obtaining prophetic guidance for the challenges ahead"
character,The Dread Lord,"A powerful necromancer rumored to be emerging as a new threat. Whispers of the Dread Lord’s influence spread unease among the players of Evergreen"
character,Zeus,"The king of the Olympian gods within Evergreen. After the entrapment, Zeus coordinates the gods’ response, planning to seek out Prometheus and create the truth deity Aletheia"
character,Athena,"The goddess of wisdom and war. She takes an active role by forming a team (including Raeve) to investigate the hellgates threatening Evergreen"
character,Hades,"The god of the underworld. In the crisis, he remains in Olympia to maintain order; he recruits the Kenku mage Bloom to assist with intelligence gathering"
character,Prometheus,"A Titan figure whom Zeus intends to seek out in order to forge Aletheia, the goddess of truth. Prometheus’s power to create new divine entities is hoped to aid in locating the floor bosses"
character,Aletheia,"The proposed goddess of truth that Zeus plans to have Prometheus create. Aletheia’s power would be used to compel the Oracles to reveal the floor bosses’ locations and weaknesses"
character,Thorion Silverleaf,"An elven Professor of Biomagic and author of the treatise *On Biomagical Speciation*. His work describes how magic influenced the evolution of races in Evergreen"
organization,Aria's Guild,"A large player guild (~80 members) led by Aria, formed for mutual protection and progress after the entrapment"
organization,The Legacy Seekers,"A small guild of about 7 members based in the Town of Echoes"
organization,The Order of the Azure Lily,"A small guild of 6 members from the Town of Echoes. In ch 6, they agree to journey with the Elementalists to Adlais to assist in the resurrection quest"
organization,The Knights of the Silver Dragon,"A guild of 12 members in the Town of Echoes. In ch 6, they decline to join the Elementalists on the expedition to the Obsidian Forest"
organization,The Shield Bearers,"A renowned guild known for defensive tactics and strong leadership. Tank joins this guild and it plays a key role in early battles"
organization,The Elementalists,"A tight-knit guild of 5 adventurers specializing in elemental magic and exploration"
organization,The Crimson Vanguard,"A mid-sized aspirational guild aiming to become the top guild. Led by the Council of Three (Thane, Lysandra, Vaelor), they ally with the Shield Bearers after the first boss battle"
organization,The Mercenaries,"A pragmatic, unaligned group known for efficiently taking on various tasks for reward"
