asset_kind,value,notes
character,Aria,"A charismatic human spellcaster, leader of Aria's Guild:contentReference[oaicite:0]{index=0}"
character,Caelum,"A celestial archer seeking to understand his lineage and serve Lunaria:contentReference[oaicite:1]{index=1}"
character,Dr. Christina Hayes,"A scientist from the year 2336 who pioneered a consciousness transfer experiment; inadvertently responsible for uploading minds into Evergreen (she later becomes the player character Raeve in the game world):contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}"
character,Raeve,"The in-game persona of Dr. Christina Hayes – an archer and shapeshifter. Raeve carries the burden of knowing she triggered the mass upload, and volunteers to join Athena's mission to investigate the hellgates:contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}"
character,Mike,"The real-life player behind the character Tank. He attempts to log out when the crisis starts, only to discover he is trapped in Evergreen:contentReference[oaicite:6]{index=6}"
character,Tank,"A human warrior armed with a spear and shield; Mike’s avatar in Evergreen:contentReference[oaicite:7]{index=7}"
character,Eidolon,"An elven rogue with no memory of logging into the game, leading him to question his own reality:contentReference[oaicite:8]{index=8}"
character,Elara,"A priestess of light and leader of the Shield Bearers guild, known for her healing powers and compassionate leadership:contentReference[oaicite:9]{index=9}"
character,Gavriel,"A mysterious wizard and member of the Shield Bearers, possessing intense magical power:contentReference[oaicite:10]{index=10}"
character,Lyra,"An agile warrior in the Shield Bearers (wields twin swords). She fought in the battle against the Dark Paladin:contentReference[oaicite:11]{index=11}"
character,Lysandra,"A cunning strategist who serves as the second member of the Council of Three leading the Crimson Vanguard guild:contentReference[oaicite:12]{index=12}"
character,Kael,"A stalwart warrior of the Shield Bearers, known for his strength and loyalty. He fell in battle against the Dark Paladin:contentReference[oaicite:13]{index=13}"
character,Reyna,"A Wood Elf ranger, expert with the longbow, and member of the Elementalists guild:contentReference[oaicite:14]{index=14}"
character,Pax,"A Halfling cleric devoted to a nature deity. His healing magic saved his companions often (initially a Shield Bearer, later a member of the Azure Lily):contentReference[oaicite:15]{index=15}:contentReference[oaicite:16]{index=16}"
